epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3683.93,0.66764,1.07533,0.7293,1.21048,0.81584,0.6898,0.79043,0.64005,0.79205,0.66451,0.75711,0.54489,0.93833,2.82098,1.51873,1.61043,0.0010802,0.0010802,0.0010802
30,3692.96,0.63914,1.02757,0.70135,1.20077,0.84296,0.77294,0.87187,0.69478,0.81561,0.74353,0.81652,0.5695,0.87652,2.51398,1.07397,1.50865,0.0010791,0.0010791,0.0010791
31,3702.1,0.67724,1.16221,0.76652,1.22385,0.80236,0.75028,0.77458,0.58386,0.76024,0.6875,0.71291,0.47409,0.99938,3.14999,1.75492,1.62065,0.001078,0.001078,0.001078
32,3710.96,0.67491,1.19073,0.71993,1.19694,0.7707,0.75735,0.8269,0.65577,0.7707,0.75735,0.79643,0.51956,0.9025,2.93811,1.17347,1.52569,0.0010769,0.0010769,0.0010769
33,3720.41,0.65468,1.16118,0.73288,1.19902,0.8697,0.72794,0.85362,0.67149,0.83418,0.69853,0.78144,0.53524,0.9006,2.72118,1.04679,1.58157,0.0010758,0.0010758,0.0010758
34,3729.65,0.65878,1.10763,0.75391,1.21448,0.87762,0.71324,0.73007,0.5542,0.8607,0.69853,0.68207,0.47721,1.08512,3.09589,1.42258,1.90701,0.0010747,0.0010747,0.0010747
35,3738.56,0.65331,1.17721,0.69722,1.21831,0.88839,0.73133,0.791,0.59647,0.85652,0.70211,0.7353,0.53044,1.01965,2.95209,1.44213,1.7815,0.0010736,0.0010736,0.0010736
36,3747.64,0.63199,1.02781,0.6682,1.18956,0.92223,0.68382,0.83103,0.65521,0.92223,0.68382,0.8023,0.52927,0.89603,2.90956,1.26617,1.60725,0.0010725,0.0010725,0.0010725
37,3756.46,0.65963,1.0626,0.71398,1.2133,0.92101,0.68291,0.79331,0.65468,0.87903,0.65388,0.72192,0.54696,1.01914,3.29667,1.27607,1.59931,0.0010714,0.0010714,0.0010714
38,3765.37,0.64067,1.04871,0.68875,1.18565,0.87544,0.71995,0.80005,0.63164,0.8071,0.75221,0.76614,0.54189,1.04058,3.15305,1.18705,1.65904,0.0010703,0.0010703,0.0010703
39,3773.87,0.59092,1.04012,0.66176,1.15216,0.90134,0.7739,0.83412,0.63795,0.90134,0.7739,0.82074,0.57514,1.03894,2.82545,1.0168,1.66251,0.0010692,0.0010692,0.0010692
40,3782.44,0.6187,1.04944,0.65424,1.18378,0.89952,0.72681,0.83663,0.65865,0.91617,0.74151,0.81758,0.58141,1.00299,2.98413,1.12762,1.60872,0.0010681,0.0010681,0.0010681
41,3791,0.59963,0.98827,0.64888,1.17037,0.90603,0.74265,0.86602,0.6668,0.90603,0.74265,0.83895,0.57844,1.03583,3.05848,1.12823,1.69547,0.001067,0.001067,0.001067
42,3799.39,0.64789,1.15902,0.70318,1.20733,0.85889,0.71324,0.81323,0.61151,0.8231,0.68382,0.75748,0.53325,1.09767,3.37197,1.23238,1.86106,0.0010659,0.0010659,0.0010659
43,3807.94,0.63483,1.09573,0.7042,1.20327,0.80006,0.81139,0.82471,0.599,0.84124,0.65441,0.73641,0.51563,0.89367,2.89468,1.17737,1.61496,0.0010648,0.0010648,0.0010648
44,3816.61,0.62958,1.04713,0.71441,1.20268,0.82157,0.81684,0.82522,0.62716,0.79368,0.78763,0.7723,0.51907,0.92568,2.72809,1.13854,1.54374,0.0010637,0.0010637,0.0010637
45,3825.37,0.67304,1.17097,0.67748,1.20218,0.86075,0.7741,0.84337,0.64655,0.83011,0.74525,0.80011,0.55689,0.9818,2.5519,1.12795,1.61581,0.0010626,0.0010626,0.0010626
46,3833.88,0.65929,1.10902,0.71167,1.21816,0.77078,0.86047,0.81988,0.6002,0.86277,0.65242,0.73966,0.5264,1.09069,2.72266,1.09846,1.75494,0.0010615,0.0010615,0.0010615
47,3842.31,0.61911,1.10218,0.71004,1.18085,0.83247,0.65257,0.76851,0.56757,0.79295,0.62316,0.71953,0.48051,1.11832,2.94918,1.43502,1.7057,0.00106041,0.00106041,0.00106041
