epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,281.456,2.39326,3.40629,3.22941,3.03824,0.60083,0.19118,0.26336,0.08796,0.59238,0.19118,0.14266,0.0609,2.3554,3.56764,3.09657,3.21817,0.0010791,0.0010791,0.0010791
31,290.951,2.45249,3.46755,3.23045,3.00239,0.23213,0.18163,0.16265,0.05698,0.16062,0.13261,0.09262,0.04295,2.47301,3.94297,3.43309,3.34491,0.001078,0.001078,0.001078
32,300.304,2.37545,3.4714,3.17451,2.95808,0.26808,0.23363,0.24833,0.07658,0.23319,0.31434,0.13331,0.05046,2.39457,3.81093,3.20648,3.17938,0.0010769,0.0010769,0.0010769
33,309.433,2.38437,3.30676,3.23326,2.99002,0.55402,0.11765,0.18758,0.05217,0.57534,0.13235,0.08406,0.03221,2.40469,3.75936,3.08444,3.17847,0.0010758,0.0010758,0.0010758
34,318.685,2.30276,3.46759,3.20272,2.93994,0.57598,0.08824,0.16109,0.0506,0.57618,0.19118,0.12786,0.04301,2.4014,3.60187,3.28627,3.19351,0.0010747,0.0010747,0.0010747
35,328.152,2.28892,3.42045,3.11485,2.92723,0.58179,0.17647,0.17126,0.05731,0.5886,0.19118,0.10974,0.04819,2.31637,3.40318,3.04708,3.19539,0.0010736,0.0010736,0.0010736
36,337.546,2.25874,3.33614,3.09245,2.90562,0.66414,0.20847,0.19772,0.07556,0.62104,0.13235,0.14036,0.06459,2.39308,3.77519,3.11757,3.11781,0.0010725,0.0010725,0.0010725
37,346.733,2.2899,3.3171,3.08533,2.87747,0.66013,0.1178,0.27717,0.10102,0.62792,0.16176,0.17606,0.07148,2.24107,3.71878,3.06839,3.04581,0.0010714,0.0010714,0.0010714
38,356.394,2.24412,3.39113,3.07249,2.89484,0.64487,0.17647,0.26984,0.08326,0.54999,0.23529,0.2236,0.07666,2.39668,3.67768,3.32839,3.07157,0.0010703,0.0010703,0.0010703
39,365.43,2.16115,3.24262,3.01055,2.85346,0.76088,0.26471,0.36506,0.12662,0.63364,0.22059,0.20132,0.08934,2.20584,3.59315,2.89111,3.05219,0.0010692,0.0010692,0.0010692
40,374.628,2.17977,3.19445,2.95866,2.81989,0.64189,0.22059,0.26659,0.09605,0.60405,0.16176,0.1817,0.0827,2.20985,3.54562,2.96629,3.119,0.0010681,0.0010681,0.0010681
41,383.889,2.21538,3.26424,2.92545,2.83293,0.62826,0.14706,0.18429,0.06311,0.6521,0.13235,0.17113,0.04878,2.37043,3.74058,2.88436,3.21179,0.001067,0.001067,0.001067
42,392.902,2.2132,3.35796,2.92375,2.84391,0.64518,0.19118,0.32944,0.10741,0.66619,0.13235,0.27501,0.0715,2.22602,3.76218,2.85857,3.03422,0.0010659,0.0010659,0.0010659
43,402.205,2.21289,3.3447,2.97261,2.83256,0.63851,0.33824,0.33575,0.11665,0.60969,0.25,0.29209,0.12387,2.37672,3.537,2.70268,3.13277,0.0010648,0.0010648,0.0010648
44,411.506,2.14054,3.25707,2.89496,2.82086,0.61243,0.25,0.41849,0.15515,0.596,0.22059,0.26884,0.10663,2.34146,3.6441,2.72778,3.08451,0.0010637,0.0010637,0.0010637
45,420.984,2.08894,3.09909,2.9324,2.74247,0.40409,0.41211,0.34562,0.12366,0.33393,0.32927,0.30407,0.10934,2.4063,3.36655,2.65814,3.17393,0.0010626,0.0010626,0.0010626
46,430.234,2.09154,3.18059,2.84374,2.75543,0.48776,0.28493,0.28504,0.09026,0.07675,0.10294,0.10174,0.03722,2.47654,4.27349,2.83897,3.25887,0.0010615,0.0010615,0.0010615
47,439.471,2.09987,3.08942,2.84412,2.72218,0.66527,0.23465,0.30516,0.10811,0.64592,0.22067,0.26282,0.08798,2.16962,3.45992,2.82689,3.00512,0.00106041,0.00106041,0.00106041
48,448.686,2.10186,3.1602,2.86509,2.7308,0.22412,0.19301,0.25063,0.09258,0.25236,0.16544,0.1577,0.05604,2.24029,4.11112,3.08561,3.14089,0.00105931,0.00105931,0.00105931
49,457.896,2.00719,3.12252,2.74318,2.69389,0.61213,0.29412,0.34449,0.12798,0.59712,0.26471,0.22359,0.1057,2.01515,3.33945,2.764,2.86358,0.00105821,0.00105821,0.00105821
50,466.968,2.01335,3.04117,2.71483,2.66954,0.62762,0.26471,0.2997,0.12351,0.59593,0.20588,0.1624,0.05878,2.16669,3.96294,3.23578,2.97762,0.00105711,0.00105711,0.00105711
51,476.341,1.97619,3.12954,2.7194,2.5859,0.74824,0.26108,0.3468,0.12939,0.66992,0.20588,0.21458,0.10087,2.11179,3.42718,2.55413,2.90145,0.00105601,0.00105601,0.00105601
52,485.53,1.9724,3.13679,2.72894,2.61569,0.73187,0.19077,0.33961,0.11875,0.68765,0.20588,0.18492,0.08406,2.0502,3.89895,2.60496,2.85563,0.00105491,0.00105491,0.00105491
53,494.837,1.99532,3.03223,2.69251,2.62067,0.32536,0.35478,0.47539,0.17348,0.64148,0.25539,0.25609,0.11235,1.97728,3.19082,2.53013,2.76644,0.00105381,0.00105381,0.00105381
54,504.179,1.94242,3.01315,2.5756,2.56236,0.38962,0.44987,0.39926,0.15254,0.24293,0.30592,0.19583,0.08671,2.08728,3.88515,2.7245,2.81638,0.00105271,0.00105271,0.00105271
55,513.407,1.97256,3.14605,2.67058,2.58966,0.4093,0.32904,0.31177,0.12082,0.20507,0.3125,0.20842,0.09671,2.20826,3.46334,2.98134,2.92773,0.00105161,0.00105161,0.00105161
56,522.559,1.95621,3.11473,2.5973,2.56733,0.3412,0.50117,0.36216,0.14234,0.69401,0.17647,0.19604,0.09861,1.90134,3.27886,3.18813,2.68632,0.00105051,0.00105051,0.00105051
57,531.969,1.9672,3.15437,2.60224,2.58131,0.76804,0.17647,0.43026,0.20485,0.70596,0.16176,0.31364,0.16144,1.97393,3.13221,2.61727,2.74627,0.00104941,0.00104941,0.00104941
58,541.329,1.85732,2.97415,2.51822,2.49764,0.64261,0.27941,0.47414,0.20792,0.6447,0.27941,0.38153,0.16858,1.97597,3.0518,2.47065,2.71752,0.00104831,0.00104831,0.00104831
59,550.679,1.86872,2.98287,2.53349,2.53583,0.78684,0.23529,0.36835,0.1615,0.76604,0.22059,0.28569,0.12605,1.97487,3.21989,2.44995,2.7253,0.00104721,0.00104721,0.00104721
60,559.937,1.76801,2.81883,2.45549,2.44039,0.60157,0.43676,0.47971,0.2,0.78682,0.17814,0.32175,0.12751,1.90858,3.23862,2.40559,2.75195,0.00104611,0.00104611,0.00104611
61,569.133,1.85197,3.05207,2.54963,2.51215,0.41877,0.50796,0.51072,0.22341,0.78966,0.19118,0.31445,0.16138,1.76396,3.09332,2.23908,2.62916,0.00104501,0.00104501,0.00104501
62,578.524,1.82293,2.87051,2.43782,2.46381,0.32087,0.43382,0.37789,0.14914,0.34269,0.35262,0.25333,0.10292,2.06382,3.71186,2.53384,2.89376,0.00104391,0.00104391,0.00104391
63,587.687,1.79168,2.91007,2.4185,2.45533,0.44339,0.46507,0.40038,0.17129,0.40206,0.35846,0.29847,0.13275,1.94977,3.58853,2.70627,2.72302,0.00104281,0.00104281,0.00104281
64,596.883,1.82061,2.95032,2.43108,2.44976,0.43291,0.57169,0.51666,0.21843,0.26298,0.39732,0.32499,0.15976,1.88319,3.09548,2.63959,2.6195,0.00104171,0.00104171,0.00104171
65,606.4,1.82309,2.90078,2.41013,2.43705,0.33388,0.55229,0.44739,0.2038,0.36202,0.42096,0.33486,0.15751,1.77723,3.13264,2.61646,2.54096,0.00104061,0.00104061,0.00104061
66,615.7,1.78213,2.80786,2.42786,2.37182,0.56254,0.50254,0.4918,0.20216,0.35023,0.39338,0.28683,0.12434,1.83377,3.77966,2.8582,2.61162,0.00103951,0.00103951,0.00103951
67,624.741,1.71816,2.79725,2.37746,2.35521,0.38852,0.3632,0.34407,0.1621,0.3153,0.30647,0.24388,0.12114,1.8081,3.25382,2.81429,2.56985,0.00103841,0.00103841,0.00103841
68,633.983,1.69872,2.88014,2.26987,2.33977,0.35448,0.38787,0.34633,0.18493,0.34237,0.37316,0.31799,0.13972,1.88938,3.22478,2.46791,2.67519,0.00103731,0.00103731,0.00103731
69,643.479,1.65718,2.88678,2.25634,2.32915,0.41953,0.57639,0.47065,0.2172,0.32841,0.47978,0.33903,0.16155,1.75903,3.21721,2.38547,2.54966,0.00103621,0.00103621,0.00103621
70,652.701,1.62979,2.77411,2.24154,2.28096,0.51712,0.54412,0.50639,0.23069,0.4513,0.48346,0.40497,0.17424,1.69458,3.11717,2.31387,2.49922,0.00103511,0.00103511,0.00103511
71,662.072,1.63576,2.73464,2.15719,2.26715,0.44906,0.62132,0.48595,0.23647,0.3909,0.41456,0.35037,0.19086,1.79787,3.10607,2.38809,2.52231,0.00103401,0.00103401,0.00103401
72,671.4,1.69161,2.76802,2.26957,2.29949,0.58653,0.63235,0.58047,0.23849,0.46202,0.43014,0.3734,0.20712,1.79877,3.08968,2.56442,2.52033,0.00103291,0.00103291,0.00103291
73,680.809,1.58515,2.64805,2.17508,2.23664,0.56583,0.55721,0.64524,0.30523,0.48921,0.49755,0.51157,0.25567,1.70171,2.92732,2.2244,2.42793,0.00103181,0.00103181,0.00103181
74,690.174,1.63908,2.7122,2.28915,2.29615,0.39028,0.46507,0.46242,0.24165,0.36585,0.40441,0.38443,0.2143,1.8171,2.899,2.29632,2.49939,0.00103071,0.00103071,0.00103071
75,699.468,1.55496,2.59923,2.11646,2.18295,0.50231,0.58444,0.58811,0.30897,0.37464,0.43566,0.4172,0.2316,1.63442,2.97648,2.27547,2.46557,0.00102961,0.00102961,0.00102961
76,708.549,1.53629,2.78281,2.08174,2.20531,0.35516,0.54453,0.52056,0.23572,0.23535,0.38955,0.3478,0.18991,1.73718,3.07922,2.24852,2.52132,0.00102851,0.00102851,0.00102851
77,717.723,1.57121,2.67991,2.08698,2.21699,0.54753,0.56044,0.58905,0.26285,0.40674,0.43566,0.4542,0.22283,1.80204,2.99645,2.28051,2.53566,0.00102741,0.00102741,0.00102741
78,726.817,1.5667,2.62536,2.06937,2.1972,0.46326,0.53992,0.53715,0.23879,0.41693,0.40283,0.35147,0.16199,1.86891,3.48834,2.45642,2.65939,0.00102631,0.00102631,0.00102631
79,736.112,1.60842,2.75291,2.23465,2.2088,0.38258,0.51103,0.4806,0.23205,0.37016,0.50318,0.40585,0.21155,1.70102,2.96504,2.04486,2.41491,0.00102521,0.00102521,0.00102521
80,745.471,1.59499,2.77338,2.15017,2.24734,0.3201,0.64399,0.53628,0.25978,0.29816,0.55699,0.42704,0.21789,1.61642,2.85526,2.19667,2.33573,0.00102411,0.00102411,0.00102411
81,754.709,1.51383,2.74867,2.00432,2.12621,0.39821,0.51103,0.55067,0.28936,0.33862,0.47875,0.41549,0.22503,1.59663,2.88359,2.13953,2.38027,0.00102301,0.00102301,0.00102301
82,764.031,1.48923,2.53122,2.06227,2.10291,0.71797,0.46795,0.60701,0.32921,0.6684,0.39728,0.47167,0.24716,1.62506,2.95731,2.19404,2.422,0.00102191,0.00102191,0.00102191
83,773.369,1.53752,2.57675,2.10927,2.17063,0.5361,0.68382,0.54699,0.25398,0.3554,0.32904,0.35466,0.20642,1.72201,3.0819,2.55291,2.47241,0.00102081,0.00102081,0.00102081
84,782.685,1.43144,2.48649,1.98552,2.06359,0.42528,0.56896,0.47805,0.26625,0.39262,0.53771,0.43246,0.219,1.54735,3.10564,2.32612,2.34815,0.00101971,0.00101971,0.00101971
85,791.839,1.53564,2.4946,2.0717,2.17731,0.65825,0.46095,0.56406,0.30191,0.54071,0.36425,0.46471,0.23848,1.50929,2.88673,2.22936,2.30772,0.00101861,0.00101861,0.00101861
86,801.094,1.4371,2.61663,2.07242,2.07675,0.58471,0.52521,0.52753,0.28171,0.49023,0.48396,0.4187,0.21073,1.53039,2.91156,2.46799,2.27666,0.00101751,0.00101751,0.00101751
87,810.21,1.40884,2.51021,1.94586,2.03767,0.5112,0.60294,0.64135,0.36307,0.45707,0.44655,0.47668,0.30775,1.49577,2.87076,1.985,2.23241,0.00101641,0.00101641,0.00101641
88,819.622,1.5073,2.50014,2.0157,2.10729,0.63494,0.60294,0.57033,0.29666,0.52727,0.49851,0.45258,0.24455,1.622,2.89889,2.1481,2.35184,0.00101531,0.00101531,0.00101531
89,829.193,1.46832,2.57015,2.0003,2.11223,0.47612,0.68015,0.65444,0.38329,0.45716,0.63603,0.61648,0.30027,1.53815,2.95634,2.17195,2.29073,0.00101421,0.00101421,0.00101421
90,838.544,1.50274,2.50322,1.9876,2.11371,0.42852,0.57169,0.51866,0.28645,0.42394,0.44834,0.40519,0.25205,1.61491,2.94531,2.39107,2.32376,0.00101311,0.00101311,0.00101311
91,847.6,1.52906,2.56786,2.0756,2.12929,0.41105,0.46507,0.47834,0.24815,0.4049,0.43566,0.38505,0.21049,1.66012,3.01151,2.13212,2.38902,0.00101201,0.00101201,0.00101201
92,856.906,1.42232,2.56681,1.9352,2.05737,0.42676,0.49493,0.47287,0.28677,0.40106,0.48162,0.44747,0.25392,1.52028,2.90595,2.35404,2.26887,0.00101091,0.00101091,0.00101091
93,866.235,1.4131,2.56909,1.99012,2.05321,0.46797,0.55699,0.55225,0.30162,0.39204,0.49632,0.42964,0.25963,1.58307,2.82642,2.10518,2.31922,0.00100981,0.00100981,0.00100981
94,875.587,1.36565,2.32276,1.87132,1.99129,0.41508,0.52157,0.55861,0.30782,0.39607,0.49216,0.50332,0.29218,1.59989,2.78496,2.10148,2.33527,0.00100871,0.00100871,0.00100871
95,884.86,1.36619,2.41362,1.92286,2.00755,0.44306,0.58939,0.5342,0.27992,0.42652,0.56156,0.47839,0.26774,1.54585,2.89297,2.25781,2.2928,0.00100761,0.00100761,0.00100761
96,893.796,1.44331,2.39759,1.93983,2.05521,0.41407,0.63461,0.6407,0.29247,0.52023,0.49449,0.52655,0.28431,1.65672,2.83335,2.16865,2.36689,0.00100651,0.00100651,0.00100651
97,902.96,1.35977,2.40035,1.82821,2.01064,0.58996,0.61071,0.6597,0.41569,0.58707,0.58917,0.65403,0.32827,1.55274,2.73976,2.06074,2.31311,0.00100541,0.00100541,0.00100541
98,912.135,1.46861,2.62699,1.83119,2.09076,0.31354,0.54044,0.43361,0.23806,0.33535,0.49632,0.35174,0.20319,1.66604,2.7896,2.36553,2.38279,0.00100431,0.00100431,0.00100431
99,921.345,1.37171,2.34717,1.78555,2.00788,0.40811,0.56293,0.53391,0.26383,0.34534,0.45221,0.42059,0.23544,1.60032,2.79934,2.28274,2.34329,0.00100321,0.00100321,0.00100321
100,1816.84,1.33611,2.26965,1.8407,1.9599,0.42321,0.52207,0.502,0.29311,0.40048,0.49816,0.47103,0.27108,1.48269,2.76132,2.31543,2.24065,0.00100211,0.00100211,0.00100211
101,6587.04,1.34987,2.39273,1.84166,1.97706,0.53825,0.60901,0.6067,0.32962,0.47243,0.52889,0.50127,0.30057,1.51196,2.75803,2.00026,2.21184,0.00100101,0.00100101,0.00100101
102,6597.53,1.33993,2.35021,1.79065,2.00568,0.50769,0.54884,0.57773,0.32652,0.46598,0.45287,0.48976,0.28956,1.48772,2.69544,2.15452,2.17533,0.000999911,0.000999911,0.000999911
103,6606.86,1.37466,2.49231,1.91542,1.96863,0.36437,0.61581,0.56037,0.29096,0.38577,0.52574,0.44071,0.24776,1.46019,2.73926,2.28635,2.15381,0.000998811,0.000998811,0.000998811
104,6616.17,1.39055,2.51781,1.86538,1.98057,0.44593,0.62536,0.57819,0.33948,0.42508,0.59289,0.48025,0.2998,1.29832,2.6191,2.01269,2.06783,0.000997711,0.000997711,0.000997711
105,6625.77,1.25613,2.19974,1.73031,1.88844,0.59732,0.62316,0.60327,0.36354,0.55303,0.57721,0.53636,0.34028,1.45246,2.75121,2.2118,2.1684,0.000996611,0.000996611,0.000996611
106,10081.8,1.31887,2.31394,1.85003,1.94677,0.34765,0.56197,0.4771,0.28613,0.39618,0.51287,0.40942,0.20841,1.49052,3.09864,2.18738,2.27487,0.000995512,0.000995512,0.000995512
107,10098,1.32263,2.35772,1.82081,1.9438,0.40243,0.48181,0.41835,0.24057,0.3442,0.39995,0.33072,0.18885,1.65789,3.1982,2.38058,2.45134,0.000994412,0.000994412,0.000994412
108,10107.7,1.33946,2.49802,1.8313,1.96019,0.60642,0.56654,0.621,0.37576,0.63476,0.53934,0.57385,0.32395,1.46835,2.78161,1.98486,2.21999,0.000993312,0.000993312,0.000993312
109,10117,1.32111,2.40485,1.74744,1.94857,0.57945,0.65074,0.59183,0.34482,0.50814,0.52941,0.49009,0.29834,1.46634,2.74598,2.01266,2.19639,0.000992212,0.000992212,0.000992212
110,10126.7,1.28495,2.29658,1.72305,1.91312,0.72684,0.57117,0.641,0.36089,0.60359,0.57169,0.60646,0.34126,1.43416,2.60751,1.93837,2.15111,0.000991112,0.000991112,0.000991112
111,10136.2,1.27157,2.26235,1.69425,1.89836,0.79593,0.53179,0.66883,0.39523,0.64318,0.52574,0.6238,0.35119,1.46336,2.67185,1.82653,2.22013,0.000990012,0.000990012,0.000990012
112,10145.6,1.28503,2.2154,1.68666,1.88822,0.6798,0.52757,0.64578,0.39266,0.58296,0.531,0.57731,0.32582,1.38546,2.83037,2.06362,2.14089,0.000988912,0.000988912,0.000988912
113,10155,1.25524,2.18523,1.67329,1.87291,0.55898,0.61765,0.60511,0.36724,0.51204,0.5952,0.54159,0.34184,1.37729,2.70245,2.01621,2.09947,0.000987812,0.000987812,0.000987812
114,10164.3,1.28642,2.32467,1.67185,1.88456,0.6174,0.61949,0.62127,0.40474,0.55882,0.55416,0.52233,0.36182,1.45484,2.72273,2.26084,2.13377,0.000986712,0.000986712,0.000986712
115,10173.7,1.25273,2.15733,1.72926,1.89852,0.68088,0.57721,0.6186,0.36978,0.63949,0.51838,0.54518,0.34588,1.41137,2.72541,2.05957,2.10392,0.000985613,0.000985613,0.000985613
116,10183.1,1.2466,2.23355,1.74241,1.89436,0.63131,0.63311,0.68547,0.45315,0.6176,0.67913,0.63844,0.38658,1.32095,2.69644,1.81485,1.99405,0.000984513,0.000984513,0.000984513
117,10192.6,1.20762,2.16513,1.67504,1.84558,0.5999,0.66728,0.70469,0.41582,0.66478,0.5,0.59162,0.37575,1.40319,2.76204,1.94471,2.08602,0.000983413,0.000983413,0.000983413
118,10201.8,1.25945,2.16817,1.68397,1.86252,0.52842,0.62076,0.71238,0.43479,0.53659,0.5864,0.65574,0.39441,1.35586,2.59302,1.6987,2.02508,0.000982313,0.000982313,0.000982313
119,10211.3,1.27505,2.19085,1.72016,1.86424,0.55939,0.72752,0.65112,0.41083,0.52099,0.65257,0.54833,0.35322,1.38118,2.84209,1.94962,2.06983,0.000981213,0.000981213,0.000981213
120,10220.6,1.23446,2.08967,1.59742,1.81216,0.61123,0.61536,0.63172,0.38838,0.65559,0.59007,0.594,0.37779,1.322,2.61932,1.86455,1.99255,0.000980113,0.000980113,0.000980113
121,10230.2,1.2334,2.168,1.62208,1.823,0.60208,0.57719,0.60065,0.35499,0.62616,0.60478,0.62422,0.33394,1.35048,2.74811,1.79364,2.09944,0.000979013,0.000979013,0.000979013
122,10239.6,1.19003,2.09438,1.59198,1.81181,0.45409,0.5386,0.52457,0.31996,0.44398,0.5386,0.46403,0.26955,1.32496,2.79559,1.99356,2.13348,0.000977913,0.000977913,0.000977913
123,10249,1.19407,2.1102,1.61232,1.80897,0.6243,0.48162,0.61679,0.40312,0.5561,0.45221,0.57727,0.32092,1.32766,2.82739,2.23631,2.06449,0.000976813,0.000976813,0.000976813
124,10258.6,1.24243,2.11375,1.61782,1.87024,0.55133,0.6221,0.66172,0.43156,0.51647,0.60763,0.61177,0.3611,1.33328,2.73824,1.90458,1.99222,0.000975714,0.000975714,0.000975714
125,10267.9,1.14419,2.04789,1.52984,1.78548,0.61458,0.75551,0.66934,0.37975,0.58035,0.7114,0.58341,0.32322,1.34565,2.86683,1.79967,2.00828,0.000974614,0.000974614,0.000974614
126,10277.5,1.20325,2.01093,1.54934,1.82127,0.46203,0.72794,0.58215,0.36644,0.45154,0.62848,0.54137,0.32575,1.33523,2.8703,1.85663,2.03745,0.000973514,0.000973514,0.000973514
