epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,303.931,2.64197,3.59172,3.23258,3.25857,0.17949,0.17647,0.19518,0.05844,0.14958,0.14706,0.12384,0.04284,2.62129,4.11845,2.99394,3.31857,0.0010791,0.0010791,0.0010791
31,313.736,2.60059,3.48206,3.18182,3.21517,0.6335,0.19118,0.16022,0.05055,0.59062,0.16176,0.15444,0.0409,2.74274,3.73609,2.90322,3.35917,0.001078,0.001078,0.001078
32,323.348,2.53946,3.40946,3.15414,3.158,0.71356,0.19118,0.20858,0.07021,0.68963,0.14706,0.17099,0.05646,2.62271,3.52533,3.37318,3.41725,0.0010769,0.0010769,0.0010769
33,333.221,2.52445,3.42857,3.09761,3.16123,0.62719,0.11765,0.15933,0.04484,0.60437,0.10294,0.09462,0.03203,2.68388,3.99229,3.09611,3.44058,0.0010758,0.0010758,0.0010758
34,343.128,2.50433,3.3573,3.13409,3.17044,0.69371,0.14706,0.15959,0.05164,0.60668,0.13235,0.11274,0.04407,2.64015,3.81071,3.32,3.42412,0.0010747,0.0010747,0.0010747
35,353.13,2.41072,3.23395,3.06384,3.14563,0.66981,0.14706,0.16531,0.05499,0.61736,0.10294,0.10463,0.03507,2.70095,4.39468,3.0533,3.41503,0.0010736,0.0010736,0.0010736
36,362.868,2.51752,3.36053,3.09107,3.16102,0.61526,0.14706,0.19673,0.06064,0.64539,0.16176,0.19164,0.07783,2.46288,3.70451,2.93597,3.24556,0.0010725,0.0010725,0.0010725
37,372.798,2.42419,3.36273,3.02395,3.14099,0.31086,0.35662,0.30314,0.09204,0.46761,0.32721,0.2404,0.08294,2.56617,3.8292,3.58749,3.26873,0.0010714,0.0010714,0.0010714
38,382.708,2.4474,3.32113,3.06157,3.09061,0.65688,0.22059,0.30926,0.10222,0.64493,0.19118,0.2226,0.10403,2.5308,3.48806,2.70443,3.23838,0.0010703,0.0010703,0.0010703
39,392.559,2.32957,3.43594,3.00464,3.04806,0.65903,0.26471,0.31766,0.09915,0.62329,0.22059,0.18577,0.06598,2.56852,3.46235,2.8242,3.34307,0.0010692,0.0010692,0.0010692
40,402.518,2.40072,3.08954,3.05213,3.03424,0.67352,0.14706,0.20381,0.06266,0.58916,0.16176,0.11865,0.04566,2.53381,3.49905,4.18257,3.47105,0.0010681,0.0010681,0.0010681
41,412.51,2.31524,3.31953,3.07674,3.00674,0.69778,0.08824,0.21175,0.06737,0.57571,0.16176,0.10103,0.03518,2.52507,3.4117,3.83023,3.39503,0.001067,0.001067,0.001067
42,422.496,2.31455,3.11527,2.95941,3.02243,0.59461,0.20588,0.17586,0.04368,0.57205,0.22059,0.12083,0.04374,2.42324,3.52055,3.63933,3.32171,0.0010659,0.0010659,0.0010659
43,432.325,2.3162,3.14428,2.90039,2.98144,0.65542,0.19118,0.22076,0.07663,0.62933,0.16424,0.1393,0.06017,2.34886,3.53832,3.26449,3.12586,0.0010648,0.0010648,0.0010648
44,442.028,2.30148,3.23872,2.9663,2.98193,0.75301,0.22059,0.26024,0.09967,0.71594,0.19118,0.21759,0.08997,2.27107,3.41433,2.9737,3.12956,0.0010637,0.0010637,0.0010637
45,451.789,2.2195,3.21638,2.96619,2.942,0.69425,0.13235,0.25157,0.09617,0.64875,0.16176,0.19988,0.0748,2.19885,3.72444,3.75685,3.09022,0.0010626,0.0010626,0.0010626
46,461.668,2.18204,3.1137,2.84692,2.91453,0.43702,0.27315,0.32424,0.11908,0.61739,0.22059,0.21162,0.07639,2.15139,3.35626,2.84798,3.06604,0.0010615,0.0010615,0.0010615
47,471.48,2.19047,3.1484,2.85688,2.87057,0.33833,0.13419,0.29124,0.10411,0.53433,0.16544,0.25389,0.08768,2.28776,3.22585,2.94666,3.20809,0.00106041,0.00106041,0.00106041
48,481.338,2.20292,3.27226,2.86213,2.93037,0.35175,0.39671,0.35466,0.12067,0.28938,0.33272,0.24806,0.10862,2.17125,3.48429,2.62884,3.04367,0.00105931,0.00105931,0.00105931
49,491.307,2.13015,3.22234,2.79342,2.85001,0.63755,0.34275,0.37516,0.16157,0.12005,0.25,0.18055,0.07529,2.17163,3.70779,2.63319,3.05384,0.00105821,0.00105821,0.00105821
50,501.26,2.11806,3.06049,2.78501,2.86796,0.72512,0.19118,0.3582,0.1309,0.60276,0.23529,0.21828,0.07598,2.17816,3.56344,2.84418,3.05345,0.00105711,0.00105711,0.00105711
51,511.082,2.11456,2.94239,2.77334,2.84206,0.6734,0.22059,0.29697,0.10984,0.63872,0.17647,0.17797,0.08326,2.0469,3.42165,3.00972,2.91997,0.00105601,0.00105601,0.00105601
52,520.827,2.12658,3.0579,2.81033,2.83455,0.61185,0.14706,0.24277,0.07981,0.6025,0.17647,0.22552,0.08078,2.51755,3.52861,3.13131,3.27866,0.00105491,0.00105491,0.00105491
53,530.587,2.07656,2.91433,2.77025,2.79097,0.76112,0.23529,0.33902,0.14287,0.72615,0.22059,0.23976,0.08629,2.17638,3.79717,2.62819,3.152,0.00105381,0.00105381,0.00105381
54,540.329,2.10328,3.03334,2.67558,2.81085,0.81237,0.17647,0.32036,0.11078,0.73428,0.13235,0.18043,0.0885,2.28475,3.25518,2.96213,3.15307,0.00105271,0.00105271,0.00105271
55,550.169,2.11246,3.00663,2.68357,2.82098,0.4699,0.21549,0.31095,0.11484,0.30525,0.14013,0.17828,0.05913,2.55721,4.14112,2.99338,3.38015,0.00105161,0.00105161,0.00105161
56,560.063,2.07476,2.95409,2.62898,2.78434,0.27756,0.37214,0.31873,0.14014,0.39395,0.35846,0.25312,0.11631,2.05013,3.26329,2.93196,2.85009,0.00105051,0.00105051,0.00105051
57,569.973,2.02307,3.01391,2.66331,2.74517,0.44212,0.50169,0.35132,0.15426,0.28435,0.41764,0.2607,0.10755,2.10657,3.37513,2.99983,2.89731,0.00104941,0.00104941,0.00104941
58,579.962,1.99022,2.91929,2.60004,2.70864,0.49484,0.48295,0.4267,0.18606,0.53729,0.41544,0.31098,0.14583,1.87592,3.34924,2.85061,2.75201,0.00104831,0.00104831,0.00104831
59,589.992,1.9674,3.0314,2.66527,2.67963,0.56366,0.34967,0.41131,0.19124,0.41736,0.27811,0.21671,0.1003,2.09293,4.06194,2.68922,2.90449,0.00104721,0.00104721,0.00104721
60,599.999,1.9825,3.00676,2.74311,2.73183,0.75816,0.20944,0.40464,0.16184,0.24416,0.13919,0.25156,0.12597,1.97198,3.51187,2.7752,2.89517,0.00104611,0.00104611,0.00104611
61,610,2.01777,3.14398,2.76708,2.73096,0.21487,0.38603,0.27018,0.11565,0.24514,0.35662,0.22122,0.09326,2.12788,3.3247,2.85506,3.10408,0.00104501,0.00104501,0.00104501
62,620.028,1.95849,2.99068,2.56819,2.68987,0.29004,0.47794,0.36243,0.15683,0.36797,0.40257,0.29096,0.12811,2.01847,3.30787,3.1584,2.8689,0.00104391,0.00104391,0.00104391
63,630.147,1.9139,2.89412,2.63211,2.65346,0.42472,0.48346,0.41889,0.16224,0.2618,0.30629,0.27011,0.12689,2.08788,3.24231,2.9979,2.95771,0.00104281,0.00104281,0.00104281
64,640.347,1.90558,2.82135,2.4914,2.62801,0.37525,0.4032,0.37897,0.15897,0.31517,0.31801,0.2722,0.12757,1.91716,3.27654,2.66262,2.85824,0.00104171,0.00104171,0.00104171
65,650.484,1.91479,2.93544,2.53349,2.57574,0.41286,0.39713,0.38103,0.17708,0.32122,0.30216,0.26232,0.11111,1.85467,3.39533,2.82132,2.79671,0.00104061,0.00104061,0.00104061
66,660.388,1.87784,2.89139,2.51017,2.55269,0.37788,0.39035,0.36129,0.17247,0.25994,0.30028,0.22184,0.09637,1.96246,3.72534,2.88908,2.83124,0.00103951,0.00103951,0.00103951
67,670.343,1.84615,2.87224,2.54164,2.56457,0.35658,0.40257,0.40107,0.17745,0.37554,0.32721,0.26127,0.11708,1.91215,3.63961,2.80809,2.79069,0.00103841,0.00103841,0.00103841
68,680.494,1.87809,2.9151,2.50423,2.54594,0.39693,0.39338,0.40424,0.19029,0.3642,0.29549,0.30604,0.15193,1.88273,3.49988,2.64276,2.74316,0.00103731,0.00103731,0.00103731
69,690.779,1.90304,2.94374,2.51604,2.56654,0.38436,0.48491,0.43594,0.19032,0.3011,0.40441,0.30743,0.14904,1.85991,3.16627,2.45076,2.77112,0.00103621,0.00103621,0.00103621
70,701.006,1.86973,2.89533,2.40381,2.5804,0.41674,0.42279,0.42757,0.19116,0.26984,0.27323,0.25254,0.11419,1.98875,3.45486,2.54405,2.91534,0.00103511,0.00103511,0.00103511
71,710.94,1.83057,2.862,2.41274,2.55984,0.33983,0.43566,0.38296,0.14374,0.24991,0.34375,0.27459,0.13133,1.93189,3.09706,2.6227,2.82622,0.00103401,0.00103401,0.00103401
72,720.961,1.83167,2.69979,2.45484,2.50607,0.5386,0.48399,0.5017,0.24592,0.34395,0.40809,0.28218,0.16057,2.02494,3.24289,2.50948,2.79513,0.00103291,0.00103291,0.00103291
73,731.036,1.81449,2.76419,2.41103,2.51315,0.41391,0.55882,0.46943,0.21669,0.33853,0.48162,0.31603,0.15868,1.85398,3.2112,2.82415,2.67687,0.00103181,0.00103181,0.00103181
74,740.929,1.75772,2.56693,2.37846,2.47665,0.52683,0.49816,0.51276,0.22379,0.35958,0.34559,0.32595,0.16056,1.78908,3.32107,2.97218,2.65627,0.00103071,0.00103071,0.00103071
75,750.963,1.73308,2.58208,2.23887,2.43388,0.76764,0.23719,0.41674,0.17101,0.72979,0.20588,0.3303,0.17084,1.9471,3.15267,2.6153,2.75011,0.00102961,0.00102961,0.00102961
76,761.044,1.739,2.62064,2.31236,2.44745,0.37418,0.43268,0.37555,0.15753,0.28574,0.33253,0.26549,0.14898,1.90677,3.31681,2.83852,2.74787,0.00102851,0.00102851,0.00102851
77,771.256,1.72835,2.74684,2.27855,2.41926,0.35122,0.43199,0.35256,0.14587,0.31236,0.43382,0.28883,0.12901,1.99479,3.16932,2.31926,2.87248,0.00102741,0.00102741,0.00102741
78,781.194,1.78168,2.71753,2.30695,2.47413,0.33924,0.45037,0.38181,0.18499,0.35825,0.40441,0.34964,0.14858,1.92639,3.23931,2.35265,2.73095,0.00102631,0.00102631,0.00102631
79,791.17,1.72253,2.72102,2.25267,2.44147,0.33841,0.57721,0.53056,0.23955,0.27324,0.45221,0.35694,0.17412,1.81653,3.14119,2.31146,2.66365,0.00102521,0.00102521,0.00102521
80,801.251,1.70877,2.66883,2.24394,2.36902,0.52796,0.63603,0.54682,0.23337,0.368,0.48346,0.32615,0.17806,1.91028,3.15616,2.31491,2.73456,0.00102411,0.00102411,0.00102411
81,811.168,1.67118,2.67321,2.15472,2.35161,0.49587,0.48162,0.47425,0.22159,0.3496,0.40183,0.30105,0.1491,1.72579,3.12785,2.76759,2.61689,0.00102301,0.00102301,0.00102301
82,821.163,1.69718,2.66374,2.21351,2.38044,0.53866,0.52574,0.55635,0.22718,0.43458,0.45037,0.38069,0.18205,1.86462,3.02829,2.40644,2.66346,0.00102191,0.00102191,0.00102191
83,831.215,1.63415,2.60972,2.14653,2.32397,0.59156,0.48774,0.60408,0.28905,0.5696,0.44727,0.49811,0.24808,1.7251,2.96384,2.36344,2.50612,0.00102081,0.00102081,0.00102081
84,841.349,1.61151,2.52369,2.12485,2.30703,0.44671,0.51103,0.4774,0.202,0.40065,0.46507,0.37709,0.19453,1.82571,3.00718,2.2628,2.61206,0.00101971,0.00101971,0.00101971
85,851.638,1.58602,2.40108,2.08696,2.28134,0.43903,0.48162,0.49311,0.22014,0.36167,0.48428,0.38645,0.18485,1.81772,3.28163,2.1956,2.64323,0.00101861,0.00101861,0.00101861
86,861.788,1.58819,2.44464,2.12124,2.27243,0.48175,0.54228,0.53234,0.2271,0.38721,0.38971,0.29176,0.15674,1.85244,3.41576,2.30183,2.64855,0.00101751,0.00101751,0.00101751
87,871.745,1.5722,2.39735,2.11292,2.28408,0.40686,0.55515,0.48055,0.23281,0.28596,0.49449,0.37014,0.17546,1.76853,2.9714,2.62872,2.5418,0.00101641,0.00101641,0.00101641
