epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,251.902,2.49265,3.41196,3.1128,3.067,0.64121,0.17647,0.17382,0.05154,0.62944,0.16176,0.1332,0.045,2.63348,3.60084,2.71314,3.24435,0.0010791,0.0010791,0.0010791
31,260.094,2.43931,3.3274,3.08181,2.99242,0.06718,0.07353,0.09153,0.03151,0.09527,0.10294,0.07771,0.02749,2.43469,3.57295,3.07105,3.17768,0.001078,0.001078,0.001078
32,268.298,2.39442,3.25577,3.00538,2.97138,0.65447,0.16176,0.2075,0.06234,0.62304,0.13235,0.10082,0.04446,2.48346,3.93734,2.80777,3.13628,0.0010769,0.0010769,0.0010769
33,276.467,2.37147,3.3039,3.03559,2.93803,0.66297,0.16176,0.18246,0.06086,0.08835,0.20588,0.1118,0.04714,2.46607,3.31976,2.81723,3.18275,0.0010758,0.0010758,0.0010758
34,284.764,2.34022,3.20379,2.98295,2.92402,0.59316,0.20588,0.20988,0.06573,0.60673,0.14706,0.11763,0.05019,2.47019,3.56088,2.87912,3.18528,0.0010747,0.0010747,0.0010747
35,293.06,2.35464,3.20868,2.95641,2.91508,0.75665,0.16176,0.31748,0.09644,0.60224,0.17647,0.15076,0.05409,2.48184,3.51081,3.28205,3.19666,0.0010736,0.0010736,0.0010736
36,301.653,2.34639,3.22261,2.92678,2.90829,0.61968,0.16176,0.22238,0.07842,0.59935,0.13235,0.12987,0.05052,2.24384,3.55766,2.93052,3.23343,0.0010725,0.0010725,0.0010725
37,309.851,2.25087,3.19301,2.98477,2.88503,0.60157,0.23529,0.25002,0.09797,0.58252,0.19118,0.1707,0.06223,2.45952,3.52574,2.8952,3.23165,0.0010714,0.0010714,0.0010714
38,318.192,2.27174,3.26337,2.88949,2.90819,0.67245,0.20588,0.25532,0.08913,0.63277,0.17647,0.13531,0.05757,2.36614,3.58358,2.88627,3.14986,0.0010703,0.0010703,0.0010703
39,326.715,2.23517,3.1942,2.87083,2.85777,0.62182,0.22059,0.24122,0.05941,0.60529,0.19118,0.12333,0.03606,2.65876,3.9872,2.9597,3.55278,0.0010692,0.0010692,0.0010692
40,335.201,2.2148,3.28447,2.86494,2.83786,0.63517,0.22059,0.24317,0.07172,0.61306,0.2106,0.13687,0.05033,2.56048,4.19252,2.7676,3.38532,0.0010681,0.0010681,0.0010681
41,343.546,2.1521,3.20542,2.81188,2.78777,0.63266,0.25,0.31291,0.09522,0.53331,0.28125,0.23887,0.09583,2.3489,3.46474,2.57208,3.16527,0.001067,0.001067,0.001067
42,351.956,2.16854,3.10163,2.78536,2.79225,0.68733,0.22059,0.30019,0.1014,0.64376,0.16176,0.16496,0.07363,2.29706,3.6009,3.06472,3.08712,0.0010659,0.0010659,0.0010659
